municipality,primary_county,population_est_2022,median_income,latitude,longitude,coordinates,east_west,municipality_profile,median_income_2014
Sanger,Denton,9721,98027,33.3631705,-97.1739027,"[33.3631705, -97.1739027]",east,https://directory.tml.org/profile/city/630,53862
Vidor,Orange,9678,65908,30.1316001,-94.0154541,"[30.1316001, -94.0154541]",east,https://directory.tml.org/profile/city/530,42066
Dayton,Liberty,9375,57174,30.0466051,-94.8852026,"[30.0466051, -94.8852026]",east,https://directory.tml.org/profile/city/1231,51477
Jacinto City,Harris,9318,63539,29.7677258,-95.2338319,"[29.7677258, -95.2338319]",east,https://directory.tml.org/profile/city/984,30484
Commerce,Hunt,9282,58326,33.2472808,-95.9114704,"[33.2472808, -95.9114704]",east,https://directory.tml.org/profile/city/1200,19301
Aransas Pass,Nueces,8779,59337,27.909532,-97.1505561,"[27.909532, -97.1505561]",east,https://directory.tml.org/profile/city/1291,39040
Wharton,Wharton,8736,56522,29.3116366,-96.1027371,"[29.3116366, -96.1027371]",east,https://directory.tml.org/profile/city/550,27855
Joshua,Johnson,8667,76226,32.4615291,-97.3880731,"[32.4615291, -97.3880731]",east,https://directory.tml.org/profile/city/995,52094
Liberty,Liberty,8636,57174,30.057993,-94.7954783,"[30.057993, -94.7954783]",east,https://directory.tml.org/profile/city/1049,42931
Hillsboro,Hill,8548,52495,32.0109886,-97.1300061,"[32.0109886, -97.1300061]",east,https://directory.tml.org/profile/city/1168,30780
Cleveland,Liberty,8503,57174,30.34132,-95.0854885,"[30.34132, -95.0854885]",east,https://directory.tml.org/profile/city/1187,31277
Prairie View,Waller,8420,65437,30.0932737,-95.9877339,"[30.0932737, -95.9877339]",east,https://directory.tml.org/profile/city/781,28929
Navasota,Grimes,8417,52540,30.3879845,-96.0877349,"[30.3879845, -96.0877349]",east,https://directory.tml.org/profile/city/920,43198
Richland Hills,Tarrant,8407,71399,32.8091672,-97.2316869,"[32.8091672, -97.2316869]",east,https://directory.tml.org/profile/city/418,51347
Kaufman,Kaufman,8388,73660,32.5890238,-96.3088693,"[32.5890238, -96.3088693]",east,https://directory.tml.org/profile/city/1001,37500
Los Fresnos,Cameron,8215,46436,26.0717438,-97.4763733,"[26.0717438, -97.4763733]",east,https://directory.tml.org/profile/city/848,42986
Cuero,DeWitt,8106,54279,29.0938652,-97.2891568,"[29.0938652, -97.2891568]",east,https://directory.tml.org/profile/city/1222,34181
Kirby,Bexar,8087,63014,29.4596134,-98.3812895,"[29.4596134, -98.3812895]",east,https://directory.tml.org/profile/city/1012,48545
Floresville,Wilson,8050,78794,29.1335781,-98.1561192,"[29.1335781, -98.1561192]",east,https://directory.tml.org/profile/city/1079,45933
Hitchcock,Galveston,7642,77627,29.3482905,-95.0160368,"[29.3482905, -95.0160368]",east,https://directory.tml.org/profile/city/953,45434
River Oaks,Tarrant,7440,71399,32.7770737,-97.394463,"[32.7770737, -97.394463]",east,https://directory.tml.org/profile/city/810,42622
Jasper,Jasper,7423,50038,30.920823,-93.9968812,"[30.920823, -93.9968812]",east,https://directory.tml.org/profile/city/988,21227
Marble Falls,Burnet,7423,72510,30.5782297,-98.2729184,"[30.5782297, -98.2729184]",east,https://directory.tml.org/profile/city/865,36567
Gonzales,Gonzales,7196,48164,29.5016257,-97.4524926,"[29.5016257, -97.4524926]",east,https://directory.tml.org/profile/city/1116,37210
Sealy,Austin,6956,68150,29.7807878,-96.1571833,"[29.7807878, -96.1571833]",east,https://directory.tml.org/profile/city/647,44042
Willis,Montgomery,6939,87831,30.4249276,-95.4799418,"[30.4249276, -95.4799418]",east,https://directory.tml.org/profile/city/561,36069
Mexia,Limestone,6868,50381,31.6798895,-96.482203,"[31.6798895, -96.482203]",east,https://directory.tml.org/profile/city/888,34162
Silsbee,Hardin,6864,67183,30.3490976,-94.1779624,"[30.3490976, -94.1779624]",east,https://directory.tml.org/profile/city/661,35313
La Feria,Cameron,6805,46436,26.1591043,-97.824093,"[26.1591043, -97.824093]",east,https://directory.tml.org/profile/city/1021,29130
Nolanville,Bell,6745,58878,31.0787888,-97.6055693,"[31.0787888, -97.6055693]",east,https://directory.tml.org/profile/city/935,42439
Keene,Johnson,6728,76226,32.3968092,-97.3239042,"[32.3968092, -97.3239042]",east,https://directory.tml.org/profile/city/1002,32314
Burnet,Burnet,6710,72510,30.7582376,-98.2283585,"[30.7582376, -98.2283585]",east,https://directory.tml.org/profile/city/1370,47818
Lindale,Smith,6660,62903,32.5156971,-95.4093998,"[32.5156971, -95.4093998]",east,https://directory.tml.org/profile/city/1050,50778
Carthage,Panola,6562,54244,32.1573841,-94.3374199,"[32.1573841, -94.3374199]",east,https://directory.tml.org/profile/city/1386,45323
Gun Barrel City,Henderson,6506,50348,32.3309699,-96.1515623,"[32.3309699, -96.1515623]",east,https://directory.tml.org/profile/city/1136,37517
Crockett,Houston,6307,45603,31.3177591,-95.4571905,"[31.3177591, -95.4571905]",east,https://directory.tml.org/profile/city/1216,22285
Gladewater,Gregg,6230,57608,32.5365333,-94.9427168,"[32.5365333, -94.9427168]",east,https://directory.tml.org/profile/city/1110,40776
Hempstead,Waller,6179,65437,30.0974405,-96.0782918,"[30.0974405, -96.0782918]",east,https://directory.tml.org/profile/city/1157,35170
Van Alstyne,Grayson,6139,62678,33.4214995,-96.5772109,"[33.4214995, -96.5772109]",east,https://directory.tml.org/profile/city/524,47061
Edna,Jackson,6009,60666,28.9785947,-96.6460877,"[28.9785947, -96.6460877]",east,https://directory.tml.org/profile/city/1268,46875
Everman,Tarrant,5998,71399,32.630968,-97.2891817,"[32.630968, -97.2891817]",east,https://directory.tml.org/profile/city/1067,37212
Alvarado,Johnson,5910,76226,32.4065312,-97.2116782,"[32.4065312, -97.2116782]",east,https://directory.tml.org/profile/city/1723,43026
Yoakum,Lavaca,5891,54421,29.2877469,-97.151931,"[29.2877469, -97.151931]",east,https://directory.tml.org/profile/city/576,37460
Wake Village,Bowie,5841,52934,33.4267911,-94.1063014,"[33.4267911, -94.1063014]",east,https://directory.tml.org/profile/city/533,45830
Wilmer,Dallas,5833,63549,32.5971558,-96.6872571,"[32.5971558, -96.6872571]",east,https://directory.tml.org/profile/city/563,37833
Elsa,Hidalgo,5664,44260,26.2934048,-97.9930588,"[26.2934048, -97.9930588]",east,https://directory.tml.org/profile/city/1277,22298
Hutchins,Dallas,5614,63549,32.6492999,-96.7130521,"[32.6492999, -96.7130521]",east,https://directory.tml.org/profile/city/971,36866
Luling,Caldwell,5545,60063,29.6805066,-97.647498,"[29.6805066, -97.647498]",east,https://directory.tml.org/profile/city/854,39052
Brookshire,Waller,5533,65437,29.7860643,-95.9510661,"[29.7860643, -95.9510661]",east,https://directory.tml.org/profile/city/620,28308
Rockdale,Milam,5529,53320,30.6554759,-97.0013744,"[30.6554759, -97.0013744]",east,https://directory.tml.org/profile/city/816,29323
Sinton,San Patricio,5510,58227,28.0366818,-97.5091611,"[28.0366818, -97.5091611]",east,https://directory.tml.org/profile/city/663,39268
Marlin,Falls,5474,46173,31.3062874,-96.8980439,"[31.3062874, -96.8980439]",east,https://directory.tml.org/profile/city/868,26631
Rusk,Cherokee,5433,48664,31.7960064,-95.1502214,"[31.7960064, -95.1502214]",east,https://directory.tml.org/profile/city/835,35417
Atlanta,Cass,5427,42896,33.1137419,-94.1643537,"[33.1137419, -94.1643537]",east,https://directory.tml.org/profile/city/1299,36237
Cameron,Milam,5418,53320,30.8532454,-96.9769304,"[30.8532454, -96.9769304]",east,https://directory.tml.org/profile/city/1378,36294
Sansom Park,Tarrant,5359,71399,32.8059619,-97.4030744,"[32.8059619, -97.4030744]",east,https://directory.tml.org/profile/city/635,38368
Center,Shelby,5147,43244,31.7952962,-94.1802599,"[31.7952962, -94.1802599]",east,https://directory.tml.org/profile/city/412,26212
Giddings,Lee,5129,59469,30.1827159,-96.936371,"[30.1827159, -96.936371]",east,https://directory.tml.org/profile/city/1108,36406
Port Isabel,Cameron,5108,46436,26.0734119,-97.2085844,"[26.0734119, -97.2085844]",east,https://directory.tml.org/profile/city/773,32415
Hudson,Angelina,5107,50620,31.3295214,-94.7820591,"[31.3295214, -94.7820591]",east,https://directory.tml.org/profile/city/964,34547
Gilmer,Upshur,5029,51634,32.7287472,-94.9424379,"[32.7287472, -94.9424379]",east,https://directory.tml.org/profile/city/1109,46618
Mineola,Wood,5017,53485,32.6631884,-95.4882896,"[32.6631884, -95.4882896]",east,https://directory.tml.org/profile/city/893,40266
Progreso,Hidalgo,4952,44260,26.0922991,-97.9572242,"[26.0922991, -97.9572242]",east,https://directory.tml.org/profile/city/1738,29441
Pilot Point,Denton,4886,98027,33.396503,-96.9605608,"[33.396503, -96.9605608]",east,https://directory.tml.org/profile/city/760,50666
Lake Worth,Tarrant,4667,71399,32.8097891,-97.4427659,"[32.8097891, -97.4427659]",east,https://directory.tml.org/profile/city/1033,47004
La Joya,Hidalgo,4660,44260,26.2470165,-98.4814092,"[26.2470165, -98.4814092]",east,https://directory.tml.org/profile/city/1929,33713
Madisonville,Madison,4564,48251,30.9499111,-95.9116188,"[30.9499111, -95.9116188]",east,https://directory.tml.org/profile/city/858,35430
Canton,Van Zandt,4561,59929,32.5565244,-95.8632996,"[32.5565244, -95.8632996]",east,https://directory.tml.org/profile/city/1381,39325
Diboll,Angelina,4560,50620,31.1922292,-94.7807858,"[31.1922292, -94.7807858]",east,https://directory.tml.org/profile/city/1245,44960
New Boston,Bowie,4550,52934,33.4598415,-94.4154787,"[33.4598415, -94.4154787]",east,https://directory.tml.org/profile/city/925,31655
Hearne,Robertson,4538,50816,30.8785238,-96.5930258,"[30.8785238, -96.5930258]",east,https://directory.tml.org/profile/city/1152,26452
Falfurrias,Brooks,4461,33460,27.2269872,-98.1441714,"[27.2269872, -98.1441714]",east,https://directory.tml.org/profile/city/1069,18284
La Grange,Fayette,4449,64711,29.9055033,-96.876647,"[29.9055033, -96.876647]",east,https://directory.tml.org/profile/city/1023,35278
Pittsburg,Camp,4416,51024,32.9954021,-94.9657688,"[32.9954021, -94.9657688]",east,https://directory.tml.org/profile/city/764,27721
Palacios,Matagorda,4357,50054,28.7080461,-96.217467,"[28.7080461, -96.217467]",east,https://directory.tml.org/profile/city/461,33125
Caldwell,Burleson,4350,57469,30.5313152,-96.6930303,"[30.5313152, -96.6930303]",east,https://directory.tml.org/profile/city/1375,43831
Rio Bravo,Webb,4326,50865,27.3641887,-99.4800415,"[27.3641887, -99.4800415]",east,https://directory.tml.org/profile/city/406,29173
Whitesboro,Grayson,4291,62678,33.6562183,-96.906948,"[33.6562183, -96.906948]",east,https://directory.tml.org/profile/city/609,39261
Mathis,San Patricio,4282,58227,28.0944558,-97.8280543,"[28.0944558, -97.8280543]",east,https://directory.tml.org/profile/city/872,34696
Bellville,Austin,4209,68150,29.9502253,-96.2571858,"[29.9502253, -96.2571858]",east,https://directory.tml.org/profile/city/1325,46051
Nash,Bowie,4166,52934,33.4423462,-94.130747,"[33.4423462, -94.130747]",east,https://directory.tml.org/profile/city/917,40505
Smithville,Bastrop,4130,72809,30.0085542,-97.1594321,"[30.0085542, -97.1594321]",east,https://directory.tml.org/profile/city/666,35887
Farmersville,Collin,4015,102119,33.1634493,-96.3599821,"[33.1634493, -96.3599821]",east,https://directory.tml.org/profile/city/1072,41461
Wills Point,Van Zandt,3933,59929,32.7092955,-96.0083018,"[32.7092955, -96.0083018]",east,https://directory.tml.org/profile/city/562,34561
Sullivan City,Hidalgo,3903,44260,26.2775706,-98.563633,"[26.2775706, -98.563633]",east,https://directory.tml.org/profile/city/1474,26231
Columbus,Colorado,3714,62004,29.7066232,-96.5396933,"[29.7066232, -96.5396933]",east,https://directory.tml.org/profile/city/1198,41833
Cockrell Hill,Dallas,3686,63549,32.7362421,-96.8869481,"[32.7362421, -96.8869481]",east,https://directory.tml.org/profile/city/1191,39139
San Diego,Duval,3655,37921,27.7639145,-98.2388953,"[27.7639145, -98.2388953]",east,https://directory.tml.org/profile/city/628,24260
Groesbeck,Limestone,3622,50381,31.5243379,-96.5338693,"[31.5243379, -96.5338693]",east,https://directory.tml.org/profile/city/1133,38238
West Columbia,Brazoria,3597,82165,29.1438582,-95.6452249,"[29.1438582, -95.6452249]",east,https://directory.tml.org/profile/city/414,52537
Winnsboro,Wood,3562,53485,32.9573449,-95.2902224,"[32.9573449, -95.2902224]",east,https://directory.tml.org/profile/city/565,35962
Sweeny,Brazoria,3556,82165,29.0388615,-95.6985608,"[29.0388615, -95.6985608]",east,https://directory.tml.org/profile/city/698,45400
Clifton,Bosque,3513,56041,31.7823798,-97.5766862,"[31.7823798, -97.5766862]",east,https://directory.tml.org/profile/city/1188,43618
Caddo Mills,Hunt,3502,58326,33.064166,-96.2284132,"[33.064166, -96.2284132]",east,https://directory.tml.org/profile/city/55,53269
Teague,Freestone,3455,48397,31.6271145,-96.283862,"[31.6271145, -96.283862]",east,https://directory.tml.org/profile/city/705,46526
Eagle Lake,Colorado,3453,62004,29.5896836,-96.3335769,"[29.5896836, -96.3335769]",east,https://directory.tml.org/profile/city/1256,36696
Kenedy,Karnes,3432,48470,28.8191468,-97.8486123,"[28.8191468, -97.8486123]",east,https://directory.tml.org/profile/city/1006,43072
