Location,Population,Income,latitude,longitude,east_west,municipality_profile,coordinates
Albany,1657,47583,32.723452,-99.2973005,west,https://directory.tml.org/profile/city/1719,"[32.723452, -99.2973005]"
Alpine,5884,43583,30.3561488,-103.6696958,west,https://directory.tml.org/profile/city/1722,"[30.3561488, -103.6696958]"
Ames,1082,29250,30.0538261,-94.7435327,east,https://directory.tml.org/profile/city/1437,"[30.0538261, -94.7435327]"
Anderson,301,42917,30.4876971,-95.9924515,east,https://directory.tml.org/profile/city/1477,"[30.4876971, -95.9924515]"
Angus,450,48150,32.0051302,-96.437309,east,https://directory.tml.org/profile/city/12,"[32.0051302, -96.437309]"
Anson,2011,42375,32.7565042,-99.896207,west,https://directory.tml.org/profile/city/1287,"[32.7565042, -99.896207]"
Anton,1075,44423,33.8112013,-102.1637854,west,https://directory.tml.org/profile/city/1289,"[33.8112013, -102.1637854]"
Aquilla,145,36875,31.8515484,-97.2180635,east,https://directory.tml.org/profile/city/1290,"[31.8515484, -97.2180635]"
Archer City,1690,41339,33.5956593,-98.6256128,west,https://directory.tml.org/profile/city/1292,"[33.5956593, -98.6256128]"
Arp,1483,52875,32.2254332,-95.0577207,east,https://directory.tml.org/profile/city/1296,"[32.2254332, -95.0577207]"
Asherton,698,21716,28.4435988,-99.7589404,west,https://directory.tml.org/profile/city/20,"[28.4435988, -99.7589404]"
Austwell,111,51944,28.3902814,-96.842208,east,https://directory.tml.org/profile/city/1302,"[28.3902814, -96.842208]"
Bailey,235,39500,33.4320531,-96.1658091,east,https://directory.tml.org/profile/city/24,"[33.4320531, -96.1658091]"
Baird,1671,51711,32.3940168,-99.3942436,west,https://directory.tml.org/profile/city/1306,"[32.3940168, -99.3942436]"
Balcones Heights,2743,27431,29.489263,-98.5506185,east,https://directory.tml.org/profile/city/1308,"[29.489263, -98.5506185]"
Ballinger,3567,47329,31.7382062,-99.9473077,west,https://directory.tml.org/profile/city/1309,"[31.7382062, -99.9473077]"
Bandera,453,32500,29.7266131,-99.0736462,west,https://directory.tml.org/profile/city/1311,"[29.7266131, -99.0736462]"
