Location,Population,Income,municipality,latitude,longitude,east_west,municipality_profile
Albany,1657,47583,,,,,https://directory.tml.org/profile/city/1719
Alpine,5884,43583,,,,,https://directory.tml.org/profile/city/1722
Ames,1082,29250,Ames,30.0538261,-94.7435327,east,https://directory.tml.org/profile/city/1437
Anderson,301,42917,Anderson,30.4876971,-95.9924515,east,https://directory.tml.org/profile/city/1477
Angus,450,48150,Angus,32.0051302,-96.437309,east,https://directory.tml.org/profile/city/12
Anson,2011,42375,,,,,https://directory.tml.org/profile/city/1287
Anton,1075,44423,,,,,https://directory.tml.org/profile/city/1289
Aquilla,145,36875,Aquilla,31.8515484,-97.2180635,east,https://directory.tml.org/profile/city/1290
Archer City,1690,41339,,,,,https://directory.tml.org/profile/city/1292
Arp,1483,52875,Arp,32.2254332,-95.0577207,east,https://directory.tml.org/profile/city/1296
Asherton,698,21716,,,,,https://directory.tml.org/profile/city/20
Austwell,111,51944,Austwell,28.3902814,-96.842208,east,https://directory.tml.org/profile/city/1302
Bailey,235,39500,Bailey,33.4320531,-96.1658091,east,https://directory.tml.org/profile/city/24
Baird,1671,51711,,,,,https://directory.tml.org/profile/city/1306
Balcones Heights,2743,27431,Balcones Heights,29.489263,-98.5506185,east,https://directory.tml.org/profile/city/1308
Ballinger,3567,47329,,,,,https://directory.tml.org/profile/city/1309
Bandera,453,32500,,,,,https://directory.tml.org/profile/city/1311
Bangs,1653,44167,,,,,https://directory.tml.org/profile/city/1312
Bardwell,679,46571,Bardwell,32.2690354,-96.6961027,east,https://directory.tml.org/profile/city/26
Barstow,283,30833,,,,,https://directory.tml.org/profile/city/1313
Bartlett,1684,52946,Bartlett,30.7949121,-97.4255583,east,https://directory.tml.org/profile/city/1314
Beckville,840,45240,Beckville,32.2429366,-94.4554782,east,https://directory.tml.org/profile/city/30
Bedias,302,-666666666,Bedias,30.7757486,-95.949397,east,https://directory.tml.org/profile/city/240
Benavides,1231,51848,Benavides,27.5989194,-98.4080661,east,https://directory.tml.org/profile/city/32
Benjamin,238,35375,,,,,https://directory.tml.org/profile/city/1328
Beverly Hills,2457,45391,Beverly Hills,31.5215557,-97.1538919,east,https://directory.tml.org/profile/city/1331
Big Wells,503,26420,,,,,https://directory.tml.org/profile/city/37
Bishop,3185,41397,Bishop,27.5861441,-97.7991636,east,https://directory.tml.org/profile/city/1335
Blackwell,177,-666666666,,,,,https://directory.tml.org/profile/city/38
Blossom,1404,52500,Blossom,33.6614962,-95.3857864,east,https://directory.tml.org/profile/city/1339
Bogata,1046,27868,Bogata,33.4706655,-95.2138351,east,https://directory.tml.org/profile/city/1344
Bovina,1409,37521,,,,,https://directory.tml.org/profile/city/1348
Bowie,5359,54440,,,,,https://directory.tml.org/profile/city/1349
Brackettville,1492,24145,,,,,https://directory.tml.org/profile/city/1351
Brady,5129,39384,,,,,https://directory.tml.org/profile/city/1352
Brazoria,2894,54671,Brazoria,29.0444147,-95.5691126,east,https://directory.tml.org/profile/city/1353
Breckenridge,5258,39191,,,,,https://directory.tml.org/profile/city/1354
Brookshire,5188,52037,Brookshire,29.7860643,-95.9510661,east,https://directory.tml.org/profile/city/620
Browndell,102,-666666666,Browndell,31.1260943,-93.9801176,east,https://directory.tml.org/profile/city/46
Brownfield,9065,45557,,,,,https://directory.tml.org/profile/city/1362
Brownsboro,1568,50893,Brownsboro,32.3023706,-95.6135715,east,https://directory.tml.org/profile/city/45
Buffalo,1719,42344,Buffalo,31.4637866,-96.0580197,east,https://directory.tml.org/profile/city/1368
Burke,650,42708,Burke,31.2313075,-94.7688688,east,https://directory.tml.org/profile/city/51
Byers,377,48281,,,,,https://directory.tml.org/profile/city/53
Cactus,3088,39932,,,,,https://directory.tml.org/profile/city/54
Caldwell,4013,53892,Caldwell,30.5313152,-96.6930303,east,https://directory.tml.org/profile/city/1375
Cameron,5350,50629,Cameron,30.8532454,-96.9769304,east,https://directory.tml.org/profile/city/1378
Campbell,929,48538,Campbell,33.149386,-95.9513214,east,https://directory.tml.org/profile/city/58
Camp Wood,1020,41131,,,,,https://directory.tml.org/profile/city/1379
Canadian,2379,49271,,,,,https://directory.tml.org/profile/city/1380
Canton,4141,50846,Canton,32.5565244,-95.8632996,east,https://directory.tml.org/profile/city/1381
Carmine,238,52813,Carmine,30.1493838,-96.6860862,east,https://directory.tml.org/profile/city/1383
Carrizo Springs,5014,22167,,,,,https://directory.tml.org/profile/city/1384
Carthage,6510,44951,Carthage,32.1573841,-94.3374199,east,https://directory.tml.org/profile/city/1386
Celeste,969,42500,Celeste,33.2942917,-96.1952061,east,https://directory.tml.org/profile/city/1171
Centerville,975,27011,Centerville,31.2579584,-95.978292,east,https://directory.tml.org/profile/city/1172
Chandler,3218,49328,Chandler,32.3079269,-95.479957,east,https://directory.tml.org/profile/city/1173
Channing,249,48958,,,,,https://directory.tml.org/profile/city/64
Charlotte,1426,32206,Charlotte,28.8619201,-98.7064121,east,https://directory.tml.org/profile/city/1174
Childress,5751,47308,,,,,https://directory.tml.org/profile/city/1176
Chireno,583,41591,Chireno,31.5076007,-94.3543659,east,https://directory.tml.org/profile/city/1411
Cisco,3851,54583,,,,,https://directory.tml.org/profile/city/1180
Clarendon,1745,44653,,,,,https://directory.tml.org/profile/city/1181
Clarksville,2862,35813,Clarksville,33.6106648,-95.052722,east,https://directory.tml.org/profile/city/1182
Cleveland,7515,48019,Cleveland,30.34132,-95.0854885,east,https://directory.tml.org/profile/city/1187
Clyde,3816,51184,,,,,https://directory.tml.org/profile/city/1190
Cockrell Hill,3858,54088,Cockrell Hill,32.7362421,-96.8869481,east,https://directory.tml.org/profile/city/1191
Coldspring,1047,37188,Coldspring,30.592606,-95.1293175,east,https://directory.tml.org/profile/city/70
Coleman,3998,44515,,,,,https://directory.tml.org/profile/city/1192
Colmesneil,718,51728,Colmesneil,30.9093987,-94.4226266,east,https://directory.tml.org/profile/city/1196
Colorado City,4259,43550,,,,,https://directory.tml.org/profile/city/1197
Columbus,3582,54713,Columbus,29.7066232,-96.5396933,east,https://directory.tml.org/profile/city/1198
Comanche,4171,44973,,,,,https://directory.tml.org/profile/city/1199
Commerce,8667,37684,Commerce,33.2472808,-95.9114704,east,https://directory.tml.org/profile/city/1200
Cool,144,50625,,,,,https://directory.tml.org/profile/city/1699
Cooper,1882,40650,Cooper,33.3734427,-95.6882925,east,https://directory.tml.org/profile/city/1204
Cottonwood Shores,1630,44871,Cottonwood Shores,30.5557453,-98.3239126,east,https://directory.tml.org/profile/city/585
Covington,323,45750,Covington,32.1784832,-97.2580677,east,https://directory.tml.org/profile/city/1212
Coyote Flats,361,53393,,,,,https://directory.tml.org/profile/city/49605
Cranfills Gap,225,41563,Cranfills Gap,31.7737659,-97.8258601,east,https://directory.tml.org/profile/city/1215
Creedmoor,349,51250,Creedmoor,30.0899368,-97.7338917,east,https://directory.tml.org/profile/city/81
Crockett,6441,30875,Crockett,31.3177591,-95.4571905,east,https://directory.tml.org/profile/city/1216
Crosbyton,1597,43480,,,,,https://directory.tml.org/profile/city/1217
Crowell,594,29167,,,,,https://directory.tml.org/profile/city/1220
Crystal City,6504,44328,,,,,https://directory.tml.org/profile/city/82
Cuero,8200,48247,Cuero,29.0938652,-97.2891568,east,https://directory.tml.org/profile/city/1222
Daingerfield,2492,34926,Daingerfield,33.031793,-94.7218731,east,https://directory.tml.org/profile/city/1224
Dayton,8569,51717,Dayton,30.0466051,-94.8852026,east,https://directory.tml.org/profile/city/1231
Dayton Lakes,51,14500,Dayton Lakes,30.1446577,-94.8221464,east,https://directory.tml.org/profile/city/1232
Dean,445,47125,,,,,https://directory.tml.org/profile/city/1649
De Kalb,1617,35958,De Kalb,33.5087256,-94.616319,east,https://directory.tml.org/profile/city/1235
De Leon,1896,34276,,,,,https://directory.tml.org/profile/city/1236
Dell City,82,35104,,,,,https://directory.tml.org/profile/city/1237
Deport,853,42321,Deport,33.5262198,-95.3157832,east,https://directory.tml.org/profile/city/93
Devine,4349,33478,,,,,https://directory.tml.org/profile/city/1244
Diboll,4562,52717,Diboll,31.1922292,-94.7807858,east,https://directory.tml.org/profile/city/1245
Dickens,182,38625,,,,,https://directory.tml.org/profile/city/1246
Dilley,3404,50278,,,,,https://directory.tml.org/profile/city/1248
Driscoll,752,32826,Driscoll,27.6744741,-97.7486072,east,https://directory.tml.org/profile/city/1252
Dublin,3426,45664,,,,,https://directory.tml.org/profile/city/1253
Eagle Lake,3487,43689,Eagle Lake,29.5896836,-96.3335769,east,https://directory.tml.org/profile/city/1256
Earth,941,39293,,,,,https://directory.tml.org/profile/city/1259
Eastland,3647,41623,,,,,https://directory.tml.org/profile/city/1260
Easton,425,30368,Easton,32.3873755,-94.5829828,east,https://directory.tml.org/profile/city/101
East Tawakoni,987,46667,East Tawakoni,32.8842886,-95.9291335,east,https://directory.tml.org/profile/city/1262
Ector,965,54167,Ector,33.5773281,-96.2733145,east,https://directory.tml.org/profile/city/1263
Edcouch,2786,38019,Edcouch,26.2939604,-97.9605574,east,https://directory.tml.org/profile/city/400
Eden,1790,32436,,,,,https://directory.tml.org/profile/city/1264
El Cenizo,2632,24286,El Cenizo,27.3321558,-99.5037134,east,https://directory.tml.org/profile/city/1490
Eldorado,2034,46140,,,,,https://directory.tml.org/profile/city/1270
Electra,2163,37083,,,,,https://directory.tml.org/profile/city/1271
Elsa,5783,47196,Elsa,26.2934048,-97.9930588,east,https://directory.tml.org/profile/city/1277
Emory,1536,45833,Emory,32.874566,-95.7655183,east,https://directory.tml.org/profile/city/1278
Encinal,1291,44528,,,,,https://directory.tml.org/profile/city/105
Escobares,2574,28203,Escobares,26.4106186,-98.9625293,east,https://directory.tml.org/profile/city/28576
Eureka,195,50833,Eureka,32.0126567,-96.29581,east,https://directory.tml.org/profile/city/1650
Eustace,1480,45398,Eustace,32.3070902,-96.0066353,east,https://directory.tml.org/profile/city/1065
Everman,6148,45581,Everman,32.630968,-97.2891817,east,https://directory.tml.org/profile/city/1067
Falfurrias,4532,27419,Falfurrias,27.2269872,-98.1441714,east,https://directory.tml.org/profile/city/1069
Farmersville,3591,-666666666,Farmersville,33.1634493,-96.3599821,east,https://directory.tml.org/profile/city/1072
Farwell,1565,50833,,,,,https://directory.tml.org/profile/city/1073
Fayetteville,312,54231,Fayetteville,29.9057817,-96.6727528,east,https://directory.tml.org/profile/city/1075
Florence,1093,40000,Florence,30.8412954,-97.7936268,east,https://directory.tml.org/profile/city/1078
Floresville,7138,45769,Floresville,29.1335781,-98.1561192,east,https://directory.tml.org/profile/city/1079
Floydada,2700,45273,,,,,https://directory.tml.org/profile/city/1081
Fort Stockton,8433,54850,,,,,https://directory.tml.org/profile/city/1085
Franklin,1358,48625,Franklin,31.0260194,-96.4852444,east,https://directory.tml.org/profile/city/1087
Fruitvale,551,45625,Fruitvale,32.6831851,-95.8032979,east,https://directory.tml.org/profile/city/113
Ganado,2052,49675,Ganado,29.0405363,-96.5135831,east,https://directory.tml.org/profile/city/1100
Garrison,1123,42524,Garrison,31.8240279,-94.4908377,east,https://directory.tml.org/profile/city/1103
George West,3106,37250,George West,28.3325002,-98.1175054,east,https://directory.tml.org/profile/city/1107
Gholson,1346,54821,Gholson,31.7009962,-97.2163956,east,https://directory.tml.org/profile/city/120
Gilmer,4802,38240,Gilmer,32.7287472,-94.9424379,east,https://directory.tml.org/profile/city/1109
Gladewater,6189,43750,Gladewater,32.5365333,-94.9427168,east,https://directory.tml.org/profile/city/1110
Goldthwaite,1663,46615,,,,,https://directory.tml.org/profile/city/465
Goliad,1759,36047,Goliad,28.6683252,-97.3883265,east,https://directory.tml.org/profile/city/1115
Gonzales,7138,47694,Gonzales,29.5016257,-97.4524926,east,https://directory.tml.org/profile/city/1116
Goodlow,343,-666666666,Goodlow,32.1088791,-96.2150328,east,https://directory.tml.org/profile/city/122
Goodrich,294,36875,Goodrich,30.6060537,-94.9472634,east,https://directory.tml.org/profile/city/1117
Goree,282,31500,,,,,https://directory.tml.org/profile/city/1592
Gorman,1388,22880,,,,,https://directory.tml.org/profile/city/1119
Graford,699,42813,,,,,https://directory.tml.org/profile/city/1120
Graham,8718,47307,,,,,https://directory.tml.org/profile/city/1121
Grand Saline,3093,45563,Grand Saline,32.6734636,-95.7094069,east,https://directory.tml.org/profile/city/1125
Granger,1229,49205,Granger,30.7176929,-97.44278,east,https://directory.tml.org/profile/city/1127
Granjeno,358,28750,Granjeno,26.1347979,-98.3047363,east,https://directory.tml.org/profile/city/1486
Grapeland,1830,34643,Grapeland,31.4936922,-95.4789863,east,https://directory.tml.org/profile/city/1129
Gregory,2231,35761,Gregory,27.9222444,-97.2899915,east,https://directory.tml.org/profile/city/1132
Groesbeck,3729,43750,Groesbeck,31.5243379,-96.5338693,east,https://directory.tml.org/profile/city/1133
Groveton,868,35317,Groveton,31.0553605,-95.1266751,east,https://directory.tml.org/profile/city/1679
Gruver,1634,50804,,,,,https://directory.tml.org/profile/city/614
Hale Center,2049,40000,,,,,https://directory.tml.org/profile/city/1139
Hallettsville,2709,44000,Hallettsville,29.4438528,-96.9410929,east,https://directory.tml.org/profile/city/1140
Hallsburg,501,51964,Hallsburg,31.5387793,-96.9561053,east,https://directory.tml.org/profile/city/1141
Hamilton,2885,38698,,,,,https://directory.tml.org/profile/city/1144
Hardin,696,46607,Hardin,30.1524348,-94.739089,east,https://directory.tml.org/profile/city/1893
Hart,1092,40455,,,,,https://directory.tml.org/profile/city/1895
Haskell,3013,53651,,,,,https://directory.tml.org/profile/city/604
Hawk Cove,530,39861,Hawk Cove,32.8851053,-96.082225,east,https://directory.tml.org/profile/city/452
Hawley,480,45875,,,,,https://directory.tml.org/profile/city/1896
Hays,148,55000,Hays,30.1227118,-97.8722281,east,https://directory.tml.org/profile/city/1151
Hearne,4549,28869,Hearne,30.8785238,-96.5930258,east,https://directory.tml.org/profile/city/1152
Hedley,262,44583,,,,,https://directory.tml.org/profile/city/1154
Hemphill,1411,32759,Hemphill,31.3417042,-93.8479108,east,https://directory.tml.org/profile/city/1156
Hempstead,5709,37043,Hempstead,30.0974405,-96.0782918,east,https://directory.tml.org/profile/city/1157
Hico,1721,32813,,,,,https://directory.tml.org/profile/city/1162
Hillsboro,8193,48281,Hillsboro,32.0109886,-97.1300061,east,https://directory.tml.org/profile/city/1168
Hondo,8332,53603,,,,,https://directory.tml.org/profile/city/957
Honey Grove,2128,44514,Honey Grove,33.5834377,-95.9099681,east,https://directory.tml.org/profile/city/958
Hooks,2553,51734,Hooks,33.4662328,-94.2885306,east,https://directory.tml.org/profile/city/959
Hubbard,1428,32708,Hubbard,31.8484935,-96.797215,east,https://directory.tml.org/profile/city/963
Hudson,4912,45520,Hudson,31.3295214,-94.7820591,east,https://directory.tml.org/profile/city/964
Hughes Springs,1342,43500,Hughes Springs,32.998462,-94.6307585,east,https://directory.tml.org/profile/city/966
Huntington,3371,41042,Huntington,31.2776969,-94.5770539,east,https://directory.tml.org/profile/city/968
Hutchins,5613,40129,Hutchins,32.6492999,-96.7130521,east,https://directory.tml.org/profile/city/971
Idalou,2068,51827,,,,,https://directory.tml.org/profile/city/974
Ingram,1926,44938,,,,,https://directory.tml.org/profile/city/977
Iola,259,52813,Iola,30.7725123,-96.0739795,east,https://directory.tml.org/profile/city/39221
Iredell,360,35972,,,,,https://directory.tml.org/profile/city/980
Itasca,1504,42059,Itasca,32.1595947,-97.1500074,east,https://directory.tml.org/profile/city/983
Ivanhoe,1554,47969,Ivanhoe,30.6803065,-94.4148912,east,https://directory.tml.org/profile/city/47876
Jacinto City,9734,46582,Jacinto City,29.7677258,-95.2338319,east,https://directory.tml.org/profile/city/984
Jacksboro,4146,36855,,,,,https://directory.tml.org/profile/city/985
Jasper,7070,36202,Jasper,30.920823,-93.9968812,east,https://directory.tml.org/profile/city/988
Jefferson,2242,43247,Jefferson,32.7573626,-94.3451926,east,https://directory.tml.org/profile/city/989
Jewett,777,36250,Jewett,31.3615664,-96.1441315,east,https://directory.tml.org/profile/city/991
Joaquin,728,30865,Joaquin,31.9665156,-94.0562968,east,https://directory.tml.org/profile/city/992
Johnson City,1629,46667,Johnson City,30.2767408,-98.4119811,east,https://directory.tml.org/profile/city/993
Junction,2591,50196,,,,,https://directory.tml.org/profile/city/997
Karnes City,3271,49459,Karnes City,28.8849772,-97.9008355,east,https://directory.tml.org/profile/city/999
Kaufman,6796,52019,Kaufman,32.5890238,-96.3088693,east,https://directory.tml.org/profile/city/1001
Keene,6254,46497,Keene,32.3968092,-97.3239042,east,https://directory.tml.org/profile/city/1002
Kemp,1357,46944,Kemp,32.4426403,-96.2299771,east,https://directory.tml.org/profile/city/1005
Kendleton,341,41250,Kendleton,29.4507991,-95.9946785,east,https://directory.tml.org/profile/city/1887
Kenedy,3626,29426,Kenedy,28.8191468,-97.8486123,east,https://directory.tml.org/profile/city/1006
Kennard,383,47708,Kennard,31.3595701,-95.1846665,east,https://directory.tml.org/profile/city/1921
Kerens,2308,41136,Kerens,32.1332079,-96.2277529,east,https://directory.tml.org/profile/city/411
Kirby,8134,48657,Kirby,29.4596134,-98.3812895,east,https://directory.tml.org/profile/city/1012
Kirbyville,2405,26708,Kirbyville,30.658698,-93.8939722,east,https://directory.tml.org/profile/city/1013
Knollwood,416,37500,Knollwood,33.6895497,-96.6191596,east,https://directory.tml.org/profile/city/1672
Kress,742,42823,,,,,https://directory.tml.org/profile/city/1017
Lacy-Lakeview,6968,39234,Lacy-Lakeview,31.629214,-97.1030391,east,https://directory.tml.org/profile/city/1019
La Feria,6894,35722,La Feria,26.1591043,-97.824093,east,https://directory.tml.org/profile/city/1021
La Grange,4407,48527,La Grange,29.9055033,-96.876647,east,https://directory.tml.org/profile/city/1023
La Grulla,1402,36058,La Grulla,26.2695148,-98.6472456,east,https://directory.tml.org/profile/city/1928
La Joya,4486,30692,La Joya,26.2470165,-98.4814092,east,https://directory.tml.org/profile/city/1929
Lamesa,8685,36351,,,,,https://directory.tml.org/profile/city/1035
Latexo,372,38958,Latexo,31.394675,-95.4760213,east,https://directory.tml.org/profile/city/1941
La Villa,2646,53981,La Villa,26.2986827,-97.9286117,east,https://directory.tml.org/profile/city/1930
Leakey,445,-666666666,,,,,https://directory.tml.org/profile/city/1947
Leary,623,48229,Leary,33.460123,-94.2076945,east,https://directory.tml.org/profile/city/1042
Leona,309,-666666666,Leona,31.1546279,-95.9691234,east,https://directory.tml.org/profile/city/1949
Leonard,2452,48614,Leonard,33.3795549,-96.2474785,east,https://directory.tml.org/profile/city/1043
Liberty,8227,53734,Liberty,30.057993,-94.7954783,east,https://directory.tml.org/profile/city/1049
Linden,1791,39868,Linden,33.0123537,-94.3654707,east,https://directory.tml.org/profile/city/1051
Littlefield,5991,45101,,,,,https://directory.tml.org/profile/city/1055
Liverpool,531,46250,Liverpool,29.2949612,-95.2788231,east,https://directory.tml.org/profile/city/1057
