municipality,primary_county,population_est_2022,median_income,latitude,longitude,coordinates,east_west,municipality_profile
Roanoke,Denton,9943,98027,33.0040126,-97.2258483,"[33.0040126, -97.2258483]",east,https://directory.tml.org/profile/city/812
Sanger,Denton,9721,98027,33.3631705,-97.1739027,"[33.3631705, -97.1739027]",east,https://directory.tml.org/profile/city/630
Lago Vista,Travis,9692,84519,30.4601975,-97.9883477,"[30.4601975, -97.9883477]",east,https://directory.tml.org/profile/city/1022
Vidor,Orange,9678,65908,30.1316001,-94.0154541,"[30.1316001, -94.0154541]",east,https://directory.tml.org/profile/city/530
Helotes,Bexar,9597,63014,29.5611837,-98.6802212,"[29.5611837, -98.6802212]",east,https://directory.tml.org/profile/city/619
Woodway,McLennan,9585,58524,31.5059998,-97.2050055,"[31.5059998, -97.2050055]",east,https://directory.tml.org/profile/city/572
Bridge City,Orange,9574,65908,30.0207678,-93.8457255,"[30.0207678, -93.8457255]",east,https://directory.tml.org/profile/city/1359
Dayton,Liberty,9375,57174,30.0466051,-94.8852026,"[30.0466051, -94.8852026]",east,https://directory.tml.org/profile/city/1231
Kennedale,Tarrant,9329,71399,32.646801,-97.2258465,"[32.646801, -97.2258465]",east,https://directory.tml.org/profile/city/1007
Jacinto City,Harris,9318,63539,29.7677258,-95.2338319,"[29.7677258, -95.2338319]",east,https://directory.tml.org/profile/city/984
Commerce,Hunt,9282,58326,33.2472808,-95.9114704,"[33.2472808, -95.9114704]",east,https://directory.tml.org/profile/city/1200
Whitehouse,Smith,9154,62903,32.2268212,-95.2255041,"[32.2268212, -95.2255041]",east,https://directory.tml.org/profile/city/554
Liberty Hill,Williamson,9099,96653,30.6649119,-97.9225161,"[30.6649119, -97.9225161]",east,https://directory.tml.org/profile/city/472
Mont Belvieu,Chambers,8946,89767,29.8477222,-94.890758,"[29.8477222, -94.890758]",east,https://directory.tml.org/profile/city/898
Bee Cave,Travis,8853,84519,30.306098,-97.9523768,"[30.306098, -97.9523768]",east,https://directory.tml.org/profile/city/1440
